Common name	Scientific name	Status	No.	No. Back
White-eyed Tody-Tyrant	Hemitriccus zosterops		46	15
White-bellied Tody-Tyrant	Hemitriccus griseipectus		80	102
Zimmer's Tody-Tyrant	Hemitriccus minimus		53	9
Eye-ringed Tody-Tyrant	Hemitriccus orbitatus		59	20
Johannes's Tody-Tyrant	Hemitriccus iohannis		46	40
Stripe-necked Tody-Tyrant	Hemitriccus striaticollis		58	12
Hangnest Tody-Tyrant	Hemitriccus nidipendulus		32	9
Pearly-vented Tody-Tyrant	Hemitriccus margaritaceiventer		148	69
Pelzeln's Tody-Tyrant	Hemitriccus inornatus		13	5
Black-throated Tody-Tyrant	Hemitriccus granadensis		62	1
Buff-breasted Tody-Tyrant	Hemitriccus mirandae		8	0
Cinnamon-breasted Tody-Tyrant	Hemitriccus cinnamomeipectus		19	1
Kaempfer's Tody-Tyrant	Hemitriccus kaempferi		9	1
Buff-throated Tody-Tyrant	Hemitriccus rufigularis		30	1
Fork-tailed Tody-Tyrant	Hemitriccus furcatus		49	7
Eared Pygmy Tyrant	Myiornis auricularis		90	29
White-bellied Pygmy Tyrant	Myiornis albiventris		26	11
Black-capped Pygmy Tyrant	Myiornis atricapillus		45	13
Short-tailed Pygmy Tyrant	Myiornis ecaudatus		71	16
Northern Bentbill	Oncostoma cinereigulare		43	18
Southern Bentbill	Oncostoma olivaceum		32	38
Scale-crested Pygmy Tyrant	Lophotriccus pileatus		205	134
Long-crested Pygmy Tyrant	Lophotriccus eulophotes		17	7
Double-banded Pygmy Tyrant	Lophotriccus vitiosus		63	27
Helmeted Pygmy Tyrant	Lophotriccus galeatus		101	72
Pale-eyed Pygmy Tyrant	Atalotriccus pilaris		57	20
Rufous-crowned Tody-Flycatcher	Poecilotriccus ruficeps		53	13
Lulu's Tody-Flycatcher	Poecilotriccus luluae		17	1
White-cheeked Tody-Flycatcher	Poecilotriccus albifacies		22	1
Black-and-white Tody-Flycatcher	Poecilotriccus capitalis		55	8
Buff-cheeked Tody-Flycatcher	Poecilotriccus senex		4	0
Ruddy Tody-Flycatcher	Poecilotriccus russatus		17	0
Ochre-faced Tody-Flycatcher	Poecilotriccus plumbeiceps		96	93
Smoky-fronted Tody-Flycatcher	Poecilotriccus fumifrons		18	11
Rusty-fronted Tody-Flycatcher	Poecilotriccus latirostris		57	45
Slaty-headed Tody-Flycatcher	Poecilotriccus sylvia		48	37
Golden-winged Tody-Flycatcher	Poecilotriccus calopterus		24	1
Black-backed Tody-Flycatcher	Poecilotriccus pulchellus		9	0
Black-chested Tyrant	Taeniotriccus andrei		24	4
Spotted Tody-Flycatcher	Todirostrum maculatum		39	56
Yellow-lored Tody-Flycatcher	Todirostrum poliocephalum		86	72
Common Tody-Flycatcher	Todirostrum cinereum		179	172
Maracaibo Tody-Flycatcher	Todirostrum viridanum		8	1
Painted Tody-Flycatcher	Todirostrum pictum		27	5
Yellow-browed Tody-Flycatcher	Todirostrum chrysocrotaphum		46	22
Black-headed Tody-Flycatcher	Todirostrum nigriceps		24	12
Brownish Twistwing	Cnipodectes subbrunneus		82	15
Eye-ringed Flatbill	Rhynchocyclus brevirostris		17	3
Olivaceous Flatbill	Rhynchocyclus olivaceus		44	20
Pacific Flatbill	Rhynchocyclus pacificus		10	4
Fulvous-breasted Flatbill	Rhynchocyclus fulvipectus		9	0
Yellow-olive Flatbill	Tolmomyias sulphurescens		352	247
Orange-eyed Flatbill	Tolmomyias traylori		19	2
Zimmer's Flatbill	Tolmomyias assimilis		80	105
Yellow-margined Flatbill	Tolmomyias flavotectus		22	15
Grey-crowned Flatbill	Tolmomyias poliocephalus		113	115
Ochre-lored Flatbill	Tolmomyias flaviventris		137	172
Cinnamon-crested Spadebill	Platyrinchus saturatus		22	2
Stub-tailed Spadebill	Platyrinchus cancrominus		16	0
White-throated Spadebill	Platyrinchus mystaceus		180	38
Golden-crowned Spadebill	Platyrinchus coronatus		74	23
Yellow-throated Spadebill	Platyrinchus flavigularis		20	2
White-crested Spadebill	Platyrinchus platyrhynchos		74	25
Russet-winged Spadebill	Platyrinchus leucoryphus		30	2
Cinnamon Neopipo	Neopipo cinnamomea		37	1
Cinnamon Flycatcher	Pyrrhomyias cinnamomeus		138	69
Cliff Flycatcher	Hirundinea ferruginea		87	14
Euler's Flycatcher	Lathrotriccus euleri		243	123
Grey-breasted Flycatcher	Lathrotriccus griseipectus		38	4
Tawny-chested Flycatcher	Aphanotriccus capitalis		6	2
Black-billed Flycatcher	Aphanotriccus audax		13	1
Fuscous Flycatcher	Cnemotriccus fuscatus		112	37
Belted Flycatcher	Xenotriccus callizonus		23	0
Pileated Flycatcher	Xenotriccus mexicanus		19	1
Eastern Phoebe	Sayornis phoebe		88	77
Black Phoebe	Sayornis nigricans		107	75
Say's Phoebe	Sayornis saya		53	21
Northern Tufted Flycatcher	Mitrephanes phaeocercus		74	35
Olive Tufted Flycatcher	Mitrephanes olivaceus		10	4
Olive-sided Flycatcher	Contopus cooperi		115	112
Greater Pewee	Contopus pertinax		84	127
Dark Pewee	Contopus lugubris		6	1
Smoke-colored Pewee	Contopus fumigatus		92	103
Ochraceous Pewee	Contopus ochraceus		5	0
Western Wood Pewee	Contopus sordidulus		186	474
Eastern Wood Pewee	Contopus virens		160	206
Tropical Pewee	Contopus cinereus		84	45
White-throated Pewee	Contopus albogularis		3	0
Blackish Pewee	Contopus nigrescens		47	5
Hispaniolan Pewee	Contopus hispaniolensis		1	1
Yellow-bellied Flycatcher	Empidonax flaviventris		124	68
Acadian Flycatcher	Empidonax virescens		153	106
Willow Flycatcher	Empidonax traillii		188	70
Alder Flycatcher	Empidonax alnorum		220	147
White-throated Flycatcher	Empidonax albigularis		22	3
Least Flycatcher	Empidonax minimus		186	189
Hammond's Flycatcher	Empidonax hammondii		124	67
American Dusky Flycatcher	Empidonax oberholseri		114	83
American Grey Flycatcher	Empidonax wrightii		88	34
Pine Flycatcher	Empidonax affinis		30	3
Pacific-slope Flycatcher	Empidonax difficilis		155	150
Cordilleran Flycatcher	Empidonax occidentalis		121	92
Yellowish Flycatcher	Empidonax flavescens		45	64
Buff-breasted Flycatcher	Empidonax fulvifrons		81	15
Black-capped Flycatcher	Empidonax atriceps		24	4
Vermilion Flycatcher	Pyrocephalus rubinus		90	74
Austral Negrito	Lessonia rufa		8	0
Andean Negrito	Lessonia oreas		6	0
Cinereous Tyrant	Knipolegus striaticeps		4	3
Hudson's Black Tyrant	Knipolegus hudsoni		4	0
Amazonian Black Tyrant	Knipolegus poecilocercus		3	0
Jelski's Black Tyrant	Knipolegus signatus		0	0
Blue-billed Black Tyrant	Knipolegus cyanirostris		4	0
Rufous-tailed Tyrant	Knipolegus poecilurus		15	0
Riverside Tyrant	Knipolegus orenocensis		8	5
White-winged Black Tyrant	Knipolegus aterrimus		31	6
Crested Black Tyrant	Knipolegus lophotes		9	0
Velvety Black Tyrant	Knipolegus nigerrimus		7	0
Spectacled Tyrant	Hymenops perspicillatus		20	0
Drab Water Tyrant	Ochthornis littoralis		16	0
Yellow-browed Tyrant	Satrapa icterophrys		11	0
Little Ground Tyrant	Muscisaxicola fluviatilis		0	0
Spot-billed Ground Tyrant	Muscisaxicola maculirostris		14	0
Taczanowski's Ground Tyrant	Muscisaxicola griseus		1	1
Puna Ground Tyrant	Muscisaxicola juninensis		1	0
Cinereous Ground Tyrant	Muscisaxicola cinereus		1	0
White-fronted Ground Tyrant	Muscisaxicola albifrons		2	1
Ochre-naped Ground Tyrant	Muscisaxicola flavinucha		2	0
Rufous-naped Ground Tyrant	Muscisaxicola rufivertex		4	0
Dark-faced Ground Tyrant	Muscisaxicola maclovianus		5	0
White-browed Ground Tyrant	Muscisaxicola albilora		11	0
Paramo Ground Tyrant	Muscisaxicola alpinus		8	0
Cinnamon-bellied Ground Tyrant	Muscisaxicola capistratus		7	0
Black-fronted Ground Tyrant	Muscisaxicola frontalis		1	0
Black-billed Shrike-Tyrant	Agriornis montanus		15	15
White-tailed Shrike-Tyrant	Agriornis albicauda		9	1
Great Shrike-Tyrant	Agriornis lividus		3	0
Grey-bellied Shrike-Tyrant	Agriornis micropterus		1	0
Lesser Shrike-Tyrant	Agriornis murinus		0	0
Fire-eyed Diucon	Xolmis pyrope		22	0
Grey Monjita	Xolmis cinereus		23	1
Black-crowned Monjita	Xolmis coronatus		1	0
White-rumped Monjita	Xolmis velatus		11	0
White Monjita	Xolmis irupero		11	2
Rusty-backed Monjita	Xolmis rubetra		0	0
Black-and-white Monjita	Heteroxolmis dominicana		9	0
Streak-throated Bush Tyrant	Myiotheretes striaticollis		49	5
Santa Marta Bush Tyrant	Myiotheretes pernix		17	0
Smoky Bush Tyrant	Myiotheretes fumigatus		46	18
Rufous-bellied Bush Tyrant	Myiotheretes fuscorufus		6	0
Red-rumped Bush Tyrant	Cnemarchus erythropygius		6	0
Rufous-webbed Bush Tyrant	Polioxolmis rufipennis		4	0
Chocolate-vented Tyrant	Neoxolmis rufiventris		4	0
Streamer-tailed Tyrant	Gubernetes yetapa		50	16
Shear-tailed Grey Tyrant	Muscipipra vetula		36	4
Pied Water Tyrant	Fluvicola pica		20	4
Black-backed Water Tyrant	Fluvicola albiventer		13	0
Masked Water Tyrant	Fluvicola nengeta		48	24
White-headed Marsh Tyrant	Arundinicola leucocephala		14	2
Cock-tailed Tyrant	Alectrurus tricolor		1	0
Strange-tailed Tyrant	Alectrurus risora		3	0
Tumbes Tyrant	Tumbezia salvini		22	4
Crowned Chat-Tyrant	Silvicultrix frontalis		15	3
Golden-browed Chat-Tyrant	Silvicultrix pulchella		14	5
Yellow-bellied Chat-Tyrant	Silvicultrix diadema		43	3
Jelski's Chat-Tyrant	Silvicultrix jelskii		21	5
Slaty-backed Chat-Tyrant	Ochthoeca cinnamomeiventris		63	7
Rufous-breasted Chat-Tyrant	Ochthoeca rufipectoralis		44	38
Brown-backed Chat-Tyrant	Ochthoeca fumicolor		44	5
D'Orbigny's Chat-Tyrant	Ochthoeca oenanthoides		13	1
White-browed Chat-Tyrant	Ochthoeca leucophrys		22	4
Piura Chat-Tyrant	Ochthoeca piurae		11	0
Patagonian Tyrant	Colorhamphus parvirostris		19	0
Long-tailed Tyrant	Colonia colonus		95	51
Short-tailed Field Tyrant	Muscigralla brevicauda		18	3
Cattle Tyrant	Machetornis rixosa		72	22
Piratic Flycatcher	Legatus leucophaius		202	411
White-bearded Flycatcher	Phelpsia inornata		10	0
Rusty-margined Flycatcher	Myiozetetes cayanensis		129	185
Social Flycatcher	Myiozetetes similis		252	286
Grey-capped Flycatcher	Myiozetetes granadensis		74	76
Dusky-chested Flycatcher	Myiozetetes luteiventris		54	30
Great Kiskadee	Pitangus sulphuratus		366	1344
Lesser Kiskadee	Philohydor lictor		70	18
White-ringed Flycatcher	Conopias albovittatus		26	17
Yellow-throated Flycatcher	Conopias parvus		54	26
Three-striped Flycatcher	Conopias trivirgatus		45	8
Lemon-browed Flycatcher	Conopias cinchoneti		35	8
Golden-bellied Flycatcher	Myiodynastes hemichrysus		5	0
Golden-crowned Flycatcher	Myiodynastes chrysocephalus		130	24
Baird's Flycatcher	Myiodynastes bairdii		32	4
Sulphur-bellied Flycatcher	Myiodynastes luteiventris		114	49
Streaked Flycatcher	Myiodynastes maculatus		220	147
Boat-billed Flycatcher	Megarynchus pitangua		312	225
Sulphury Flycatcher	Tyrannopsis sulphurea		48	7
Variegated Flycatcher	Empidonomus varius		56	13
Crowned Slaty Flycatcher	Griseotyrannus aurantioatrocristatus		35	2
Snowy-throated Kingbird	Tyrannus niveigularis		24	4
White-throated Kingbird	Tyrannus albogularis		15	1
Tropical Kingbird	Tyrannus melancholicus		276	414
Couch's Kingbird	Tyrannus couchii		61	31
Cassin's Kingbird	Tyrannus vociferans		114	243
Thick-billed Kingbird	Tyrannus crassirostris		54	15
Western Kingbird	Tyrannus verticalis		84	137
Scissor-tailed Flycatcher	Tyrannus forficatus		33	20
Fork-tailed Flycatcher	Tyrannus savana		48	13
Eastern Kingbird	Tyrannus tyrannus		93	156
Grey Kingbird	Tyrannus dominicensis		68	54
Giant Kingbird	Tyrannus cubensis		3	0
Loggerhead Kingbird	Tyrannus caudifasciatus		17	5
Greyish Mourner	Rhytipterna simplex		112	198
Pale-bellied Mourner	Rhytipterna immunda		17	0
Rufous Mourner	Rhytipterna holerythra		41	34
Sibilant Sirystes	Sirystes sibilator		77	60
Western Sirystes	Sirystes albogriseus		13	6
Rufous Casiornis	Casiornis rufus		29	4
Ash-throated Casiornis	Casiornis fuscus		6	0
Rufous Flycatcher	Myiarchus semirufus		5	0
Yucatan Flycatcher	Myiarchus yucatanensis		11	2
Dusky-capped Flycatcher	Myiarchus tuberculifer		324	377
Swainson's Flycatcher	Myiarchus swainsoni		110	26
Venezuelan Flycatcher	Myiarchus venezuelensis		4	3
Panamanian Flycatcher	Myiarchus panamensis		9	4
Short-crested Flycatcher	Myiarchus ferox		121	77
Apical Flycatcher	Myiarchus apicalis		14	1
Pale-edged Flycatcher	Myiarchus cephalotes		51	23
Sooty-crowned Flycatcher	Myiarchus phaeocephalus		14	2
Ash-throated Flycatcher	Myiarchus cinerascens		173	331
Nutting's Flycatcher	Myiarchus nuttingi		110	22
Great Crested Flycatcher	Myiarchus crinitus		179	187
Brown-crested Flycatcher	Myiarchus tyrannulus		402	665
La Sagra's Flycatcher	Myiarchus sagrae		19	3
Stolid Flycatcher	Myiarchus stolidus		6	2
Puerto Rican Flycatcher	Myiarchus antillarum		7	3
Flammulated Flycatcher	Deltarhynchus flammulatus		27	3
Large-headed Flatbill	Ramphotrigon megacephalum		94	172
Rufous-tailed Flatbill	Ramphotrigon ruficauda		71	57
Dusky-tailed Flatbill	Ramphotrigon fuscicauda		48	55
Rufous-tailed Attila	Attila phoenicurus		51	93
Cinnamon Attila	Attila cinnamomeus		99	97
Ochraceous Attila	Attila torridus		39	9
Citron-bellied Attila	Attila citriniventris		54	25
White-eyed Attila	Attila bolivianus		53	58
Grey-hooded Attila	Attila rufus		116	148
Bright-rumped Attila	Attila spadiceus		284	425
Red-crested Cotinga	Ampelion rubrocristatus		25	5
Chestnut-crested Cotinga	Ampelion rufaxilla		17	3
Swallow-tailed Cotinga	Phibalura flavirostris		1	0
White-cheeked Cotinga	Zaratornis stresemanni		3	0
Chestnut-bellied Cotinga	Doliornis remseni		6	0
Bay-vented Cotinga	Doliornis sclateri		11	0
Peruvian Plantcutter	Phytotoma raimondii		25	1
White-tipped Plantcutter	Phytotoma rutila		34	15
Rufous-tailed Plantcutter	Phytotoma rara		14	1
Hooded Berryeater	Carpornis cucullata		61	319
Black-headed Berryeater	Carpornis melanocephala		15	13
Green-and-black Fruiteater	Pipreola riefferii		95	18
Band-tailed Fruiteater	Pipreola intermedia		11	3
Barred Fruiteater	Pipreola arcuata		58	22
Golden-breasted Fruiteater	Pipreola aureopectus		40	9
Orange-breasted Fruiteater	Pipreola jucunda		29	4
Black-chested Fruiteater	Pipreola lubomirskii		11	1
Masked Fruiteater	Pipreola pulchra		6	0
Scarlet-breasted Fruiteater	Pipreola frontalis		21	1
Fiery-throated Fruiteater	Pipreola chlorolepidota		11	0
Handsome Fruiteater	Pipreola formosa		7	0
Red-banded Fruiteater	Pipreola whitelyi		12	1
Scaled Fruiteater	Ampelioides tschudii		36	4
Guianan Cock-of-the-rock	Rupicola rupicola		28	1
Andean Cock-of-the-rock	Rupicola peruvianus		88	13
Guianan Red Cotinga	Phoenicircus carnifex		21	7
Black-necked Red Cotinga	Phoenicircus nigricollis		26	1
Lovely Cotinga	Cotinga amabilis		2	0
Turquoise Cotinga	Cotinga ridgwayi		3	0
Blue Cotinga	Cotinga nattererii		3	0
Plum-throated Cotinga	Cotinga maynana		6	1
Purple-breasted Cotinga	Cotinga cotinga		1	0
Banded Cotinga	Cotinga maculata		3	0
Spangled Cotinga	Cotinga cayana		2	0
Three-wattled Bellbird	Procnias tricarunculatus		44	24
White Bellbird	Procnias albus		39	41
Bearded Bellbird	Procnias averano		51	22
Bare-throated Bellbird	Procnias nudicollis		105	530
Black-and-gold Cotinga	Tijuca atra		46	90
Grey-winged Cotinga	Tijuca condita		8	3
Chestnut-capped Piha	Lipaugus weberi		30	1
Dusky Piha	Lipaugus fuscocinereus		26	7
Scimitar-winged Piha	Lipaugus uropygialis		2	0
Rufous Piha	Lipaugus unirufus		66	28
Screaming Piha	Lipaugus vociferans		214	1016
Cinnamon-vented Piha	Lipaugus lanioides		31	39
Rose-collared Piha	Lipaugus streptophorus		6	0
Black-faced Cotinga	Conioptilon mcilhennyi		25	17
Grey-tailed Piha	Snowornis subalaris		19	3
Olivaceous Piha	Snowornis cryptolophus		5	0
Purple-throated Cotinga	Porphyrolaema porphyrolaema		5	1
Pompadour Cotinga	Xipholena punicea		29	6
White-tailed Cotinga	Xipholena lamellipennis		7	1
White-winged Cotinga	Xipholena atropurpurea		3	0
Black-tipped Cotinga	Carpodectes hopkei		2	0
Snowy Cotinga	Carpodectes nitidus		0	0
Yellow-billed Cotinga	Carpodectes antoniae		0	0
Bare-necked Fruitcrow	Gymnoderus foetidus		1	0
Purple-throated Fruitcrow	Querula purpurata		119	217
Crimson Fruitcrow	Haematoderus militaris		3	0
Red-ruffed Fruitcrow	Pyroderus scutatus		32	9
Capuchinbird	Perissocephalus tricolor		34	5
Bare-necked Umbrellabird	Cephalopterus glabricollis		1	0
Amazonian Umbrellabird	Cephalopterus ornatus		7	1
Long-wattled Umbrellabird	Cephalopterus penduliger		18	1
Saffron-crested Tyrant-Manakin	Neopelma chrysocephalum		52	14
Sulphur-bellied Tyrant-Manakin	Neopelma sulphureiventer		24	8
Pale-bellied Tyrant-Manakin	Neopelma pallescens		39	15
Wied's Tyrant-Manakin	Neopelma aurifrons		12	0
Serra do Mar Tyrant-Manakin	Neopelma chrysolophum		33	6
Dwarf Tyrant-Manakin	Tyranneutes stolzmanni		113	251
Tiny Tyrant-Manakin	Tyranneutes virescens		27	28
Pin-tailed Manakin	Ilicura militaris		50	29
Golden-winged Manakin	Masius chrysopterus		18	3
White-throated Manakin	Corapipo gutturalis		13	3
White-ruffed Manakin	Corapipo altera		21	1
White-bibbed Manakin	Corapipo leucorrhoa		5	0
Club-winged Manakin	Machaeropterus deliciosus		50	23
Eastern Striped Manakin	Machaeropterus regulus		17	3
Western Striped Manakin	Machaeropterus striolatus		57	11
Fiery-capped Manakin	Machaeropterus pyrocephalus		30	102
Blue-crowned Manakin	Lepidothrix coronata		96	82
Blue-rumped Manakin	Lepidothrix isidorei		37	6
Cerulean-capped Manakin	Lepidothrix coeruleocapilla		8	1
Snow-capped Manakin	Lepidothrix nattereri		29	4
Golden-crowned Manakin	Lepidothrix vilasboasi		7	0
Opal-crowned Manakin	Lepidothrix iris		18	2
White-fronted Manakin	Lepidothrix serena		27	5
Orange-bellied Manakin	Lepidothrix suavissima		15	1
White-bearded Manakin	Manacus manacus		220	90
White-collared Manakin	Manacus candei		38	12
Golden-collared Manakin	Manacus vitellinus		38	37
Orange-collared Manakin	Manacus aurantiacus		20	0
Araripe Manakin	Antilophia bokermanni		16	0
Helmeted Manakin	Antilophia galeata		61	8
Long-tailed Manakin	Chiroxiphia linearis		84	92
Lance-tailed Manakin	Chiroxiphia lanceolata		75	33
Blue-backed Manakin	Chiroxiphia pareola		150	105
Yungas Manakin	Chiroxiphia boliviana		58	114
Blue Manakin	Chiroxiphia caudata		193	591
Green Manakin	Xenopipo holochlora		13	0
Yellow-headed Manakin	Xenopipo flavicapilla		13	0
Jet Manakin	Xenopipo unicolor		6	0
Olive Manakin	Xenopipo uniformis		6	0
Black Manakin	Xenopipo atronitens		16	1
Orange-crested Manakin	Heterocercus aurantiivertex		17	3
Yellow-crested Manakin	Heterocercus flavivertex		7	1
Flame-crested Manakin	Heterocercus linteatus		10	0
Crimson-hooded Manakin	Pipra aureola		20	0
Wire-tailed Manakin	Pipra filicauda		16	6
Band-tailed Manakin	Pipra fasciicauda		44	46
White-crowned Manakin	Dixiphia pipra		83	20
Scarlet-horned Manakin	Dixiphia cornuta		17	1
Red-capped Manakin	Dixiphia mentalis		74	33
Round-tailed Manakin	Dixiphia chloromeros		15	25
Golden-headed Manakin	Dixiphia erythrocephala		91	30
Red-headed Manakin	Dixiphia rubrocapilla		69	58
Sharpbill	Oxyruncus cristatus		55	16
Amazonian Royal Flycatcher	Onychorhynchus coronatus		32	6
Northern Royal Flycatcher	Onychorhynchus mexicanus		13	4
Pacific Royal Flycatcher	Onychorhynchus occidentalis		4	3
Tawny-breasted Myiobius	Myiobius villosus		9	0
Sulphur-rumped Myiobius	Myiobius sulphureipygius		11	0
Whiskered Myiobius	Myiobius barbatus		24	4
Black-tailed Myiobius	Myiobius atricaudus		15	2
Ruddy-tailed Flycatcher	Terenotriccus erythrurus		56	20
Black-crowned Tityra	Tityra inquisitor		16	2
Black-tailed Tityra	Tityra cayana		54	18
Masked Tityra	Tityra semifasciata		67	18
Varzea Schiffornis	Schiffornis major		46	35
Brown-winged Schiffornis	Schiffornis turdina		75	39
Greenish Schiffornis	Schiffornis virescens		93	122
Speckled Mourner	Laniocera rufescens		16	6
Cinereous Mourner	Laniocera hypopyrra		65	15
Buff-throated Purpletuft	Iodopleura pipra		17	0
Dusky Purpletuft	Iodopleura fusca		7	0
White-browed Purpletuft	Iodopleura isabellae		18	2
Brazilian Laniisoma	Laniisoma elegans		23	2
Andean Laniisoma	Laniisoma buckleyi		9	0
White-naped Xenopsaris	Xenopsaris albinucha		27	0
Green-backed Becard	Pachyramphus viridis		65	17
Barred Becard	Pachyramphus versicolor		39	10
Slaty Becard	Pachyramphus spodiurus		11	0
Cinereous Becard	Pachyramphus rufus		28	5
Chestnut-crowned Becard	Pachyramphus castaneus		97	76
Cinnamon Becard	Pachyramphus cinnamomeus		62	44
White-winged Becard	Pachyramphus polychopterus		192	229
Black-capped Becard	Pachyramphus marginatus		71	88
Black-and-white Becard	Pachyramphus albogriseus		35	7
Grey-collared Becard	Pachyramphus major		13	1
Glossy-backed Becard	Pachyramphus surinamus		10	2
One-colored Becard	Pachyramphus homochrous		13	2
Pink-throated Becard	Pachyramphus minor		32	49
Crested Becard	Pachyramphus validus		37	6
Rose-throated Becard	Pachyramphus aglaiae		43	17
Slaty-headed Longbill	Toxorhamphus poliopterus		2	0
Brown Shrike	Lanius cristatus		57	5
Loggerhead Shrike	Lanius ludovicianus		147	28
Great Grey Shrike	Lanius excubitor		97	14
Rufous-browed Peppershrike	Cyclarhis gujanensis		552	923
Black-billed Peppershrike	Cyclarhis nigrirostris		96	43
Chestnut-sided Shrike-Vireo	Vireolanius melitophrys		28	2
